name,score,placement,city_Bangalore,city_Chennai,city_Delhi,city_Hyderabad,city_Kolkata,city_Mumbai,city_Pune
Aarav,85.6,1,0,0,1,0,0,0,0
Isha,75.95454545454545,0,0,0,0,0,0,1,0
Rohan,91.2,1,0,1,0,0,0,0,0
Meera,67.8,0,0,0,0,0,0,0,1
Kabir,88.5,1,0,0,0,1,0,0,0
Simran,75.95454545454545,1,0,1,0,0,0,0,0
Arjun,59.3,0,0,0,0,0,1,0,0
Dev,94.7,1,1,0,0,0,0,0,0
Ritika,63.5,0,0,1,0,0,0,0,0
Kunal,78.4,1,0,0,0,0,0,0,1
Neha,81.9,0,0,0,0,1,0,0,0
Raj,55.2,0,0,1,0,0,0,0,0
Priya,75.95454545454545,1,0,0,0,0,1,0,0
Aditya,69.4,0,0,0,1,0,0,0,0
